"x","y","Cprod","Infra","Econ","Lprod","Nat","Fprod","FR"
1770,1586,0.479487595726831,0.678519041600585,0.758167864660971,0.385118314967391,0.42523251439675,0.367688139083854,"C_Cereal"
1770,1587,0.47778754964637,0.72566139774714,0.697705883851149,0.385685643206628,0.423063807807808,0.363054131897011,"C_Cereal"
1770,1588,0.478346839683008,0.814277236222213,0.697705883851149,0.386232432519848,0.421428492967651,0.357948017971527,"NC_Livestock"
1770,1589,0.481545371700755,0.895580592618787,0.683312519891164,0.386917344807391,0.41992615702769,0.353444501069063,"Forester"
1770,1590,0.482927216052776,0.819300761769629,0.758167864660971,0.388713205557959,0.418983048415187,0.348879315076287,"Forester"
1770,1591,0.482662410845564,0.794177541558739,0.744029397088894,0.389491889267006,0.41820140510697,0.344651453320573,"C_Cereal"
1770,1592,0.481333963014769,0.713851077657634,0.744029397088894,0.386091603239911,0.417152310973512,0.340896954377469,"C_Cereal"
1770,1593,0.481333963014769,0.782289942189148,0.683312519891164,0.383714009654362,0.416232975042735,0.337300305369382,"C_Cereal"
1770,1594,0.479054460833819,0.805461079824026,0.781371480053477,0.379651202899308,0.41519753982906,0.334004026104915,"Forester"
1770,1595,0.48246024773038,0.863778126537316,0.758167864660971,0.377804737425212,0.414454582655827,0.331112399565482,"C_Cereal"
1770,1596,0.481900756703072,0.859119045265498,0.758167864660971,0.376215524845204,0.414145174459528,0.328073910879669,"C_Cereal"
1770,1597,0.481900756703072,0.791441988125313,0.697705883851149,0.372749292301644,0.413744870897884,0.325281546641806,"C_Cereal"
1770,1598,0.481779492332407,0.787912937500175,0.675987830855176,0.369943637934945,0.413638315337626,0.322428244803745,"Forester"
1770,1599,0.48246024773038,0.785694838052787,0.73570068188583,0.366687031925147,0.41360185327425,0.320139179998486,"Forester"
1770,1600,0.48246024773038,0.837868936381725,0.698924127356688,0.367111133079913,0.413581644640235,0.317967260894398,"C_Cereal"
1770,1601,0.481314198932257,0.830397902912576,0.698924127356688,0.368831843519485,0.41360759496124,0.315870345688893,"Forester"
1770,1602,0.482927216052776,0.772873201540735,0.698924127356688,0.372177001328881,0.413610268199233,0.314073796392789,"C_Cereal"
1770,1603,0.482927216052776,0.747789254837896,0.698924127356688,0.377631798662035,0.413607070075757,0.312448429506149,"C_Cereal"
1770,1604,0.482927216052776,0.684299470338786,0.698924127356688,0.383414290832346,0.413519099099099,0.311053297671149,"C_Cereal"
1770,1605,0.478296558517161,0.639072321278418,0.795863548864439,0.392389198595827,0.41346819246597,0.310053415132145,"C_Cereal"
1771,1505,0.478629399066037,0.590323111023199,0.761341464387127,0.43515502444158,0.47069901618123,0.493392707776503,"C_Livestock"
1771,1507,0.480275747139266,0.617344828099465,0.70126728080169,0.441720696181706,0.469283909385114,0.490595031684326,"C_Livestock"
1771,1508,0.481274067795225,0.599936015883455,0.70126728080169,0.444069909032829,0.469060663885026,0.489649196950112,"C_Livestock"
1771,1509,0.479774141424807,0.571824071671254,0.761341464387127,0.445575848172067,0.46913259321246,0.488291891868562,"NC_Livestock"
1771,1510,0.479774141424807,0.547949783482801,0.70126728080169,0.446783410782615,0.469526387337058,0.487177840445918,"C_Livestock"
1771,1511,0.478629399066037,0.527201343286754,0.761341464387127,0.447791372934977,0.470227916083916,0.486159793130126,"Forester"
1771,1512,0.481274067795225,0.508854177193732,0.761341464387127,0.448322420824748,0.470996889507892,0.485750407156312,"C_Livestock"
1771,1513,0.480967289036508,0.492409681029998,0,0.448858456714125,0.472184557722067,0.48491347703603,"C_Livestock"
1771,1514,0,0,0,0,0,0,"UNMANAGED"
1771,1515,0.480519917304399,0.510791115917062,0.68497384566868,0.448124424307767,0.476098598576291,0.483858305529936,"C_Livestock"
1771,1516,0.477523950383175,0.52937725342208,0.68497384566868,0.448199670016766,0.478706427398109,0.484000957452195,"Forester"
1771,1517,0.48113196739181,0.537755608138966,0.744916446970255,0.447704335634219,0.481847827677049,0.484628844828195,"C_Livestock"
1771,1518,0.48113196739181,0.558547393639784,0.744916446970255,0.447348166858801,0.4852903344181,0.485163382660894,"C_Livestock"
1771,1519,0.48113196739181,0.575260315031811,0.744916446970255,0.447322021496206,0.488729126961927,0.486248516479807,"C_Livestock"
1771,1520,0.480519917304399,0.604046744481726,0.768163777355638,0.447241764918372,0.492758693358163,0.488193126948355,"C_Livestock"
1771,1521,0.480519917304399,0.621939014772131,0.744916446970255,0.447106857513148,0.496999974549969,0.490572123283773,"C_Livestock"
1771,1522,0.478759440029275,0.623170441884885,0.768163777355638,0.446915184259415,0.501653397268777,0.493173398835568,"C_Livestock"
1771,1523,0.480519917304399,0.625561901941269,0.744916446970255,0.446671697365139,0.506568073348873,0.495875750762068,"C_Livestock"
1771,1524,0.48113196739181,0.61339049153105,0.744916446970255,0.446395004416082,0.511831901787102,0.498674831296875,"C_Livestock"
1771,1525,0.480988962530381,0.632121085728618,0.68497384566868,0.44628669994247,0.517290701476302,0.501651489982319,"C_Livestock"
